outdir,N,ESS,ESS/N,VaR_w,CVaR_w,W_tail,ESS_tail,naive_tail_count
output_diagnostic_reduced_theta,10000,8504.120511895544,0.8504120511895544,28534.393979430053,31910.862189972995,0.010031340836693967,266.5680588320233,100.00000000000009
output_simulated_poster,10000,7754.055294473342,0.7754055294473342,28474.06132569378,31919.21039054238,0.010001669067601445,330.5415778837589,100.00000000000009
output_final_theta_0.6,10000,6920.435394432922,0.6920435394432922,28559.966984864688,31918.441108860596,0.010014181052776173,407.1172729406398,100.00000000000009
