rep,N,var_mc,cvar_mc,var_is,cvar_is
0,100000,14911797.049924977,16657167.367751185,14832402.671016209,16564888.164633283
1,100000,14833888.848593362,16519436.07306307,14785482.168289028,16477879.36509601
2,100000,14798347.757283144,16602116.141422724,14790313.240676492,16549148.469425779
3,100000,14898485.655618481,16577487.477189478,14813251.444482975,16532941.239940295
4,100000,14785370.612518467,16456627.366346983,14853120.296795338,16565013.76117387
5,100000,14781975.26545573,16554906.031536473,14865219.180594377,16583734.859649679
6,100000,14878063.65008469,16600842.334171731,14870083.949207045,16573081.215529805
7,100000,14810297.355262138,16491287.141220639,14877498.161422357,16623009.990394639
8,100000,14848254.719286986,16574540.385206446,14848566.22728511,16596267.571899593
9,100000,14799751.428690866,16482994.631601779,14917076.568322621,16623746.463263353
10,100000,14794026.442818612,16453368.640544305,14843117.975969411,16544845.872111604
11,100000,14892140.1196758,16561439.690472288,14874109.968626648,16618233.469799586
12,100000,14814117.641599238,16539611.676833186,14831334.89643471,16573305.690938856
13,100000,14801102.183204956,16524189.998698398,14799340.038505547,16551103.381937215
14,100000,14845341.220615186,16658046.641862718,14845358.4820183,16597711.941560304
15,100000,14840936.175077908,16581917.810485011,14829792.66033841,16589977.304085035
16,100000,14803079.238852434,16487232.608427648,14803231.202755876,16523201.020965377
17,100000,14803288.910880178,16522485.761173235,14824030.252152681,16608020.375184823
18,100000,14895969.008030504,16551941.070494587,14835829.49090717,16563753.527602918
19,100000,14921702.428558499,16583566.379504217,14834922.650458463,16561985.802434668
20,100000,14895824.327039272,16631966.05497064,14866953.061398461,16568170.343080254
21,100000,14818802.157776989,16547753.409837514,14882877.124850117,16624967.135131828
22,100000,14728517.216015786,16505285.043511672,14858863.928208858,16618948.062578268
23,100000,14822814.513364837,16534643.140232967,14805457.940191366,16574883.799523178
24,100000,14868800.948348962,16591600.498626389,14854825.769430943,16616310.397209834
25,100000,14815937.37976931,16565516.803193336,14853451.49539344,16591145.362190073
26,100000,14775416.011412896,16536748.767913042,14892941.574390002,16645554.142698355
27,100000,14821564.036057182,16595358.911339777,14791488.899635136,16562267.046348313
28,100000,14805503.642496526,16568271.188283486,14785676.834849738,16500407.358481936
29,100000,14846944.847625345,16633895.774260473,14864765.976556316,16627137.32114702
