rep,N,var_mc,cvar_mc,var_is,cvar_is
0,10000,14832536.44479239,16699877.993394593,14921179.98655688,16632510.043495292
1,10000,14454869.022064425,16181958.81914592,14793096.03877557,16600429.230604365
2,10000,14703967.366205879,16295007.559200434,14907643.644167952,16658096.732249318
3,10000,14812383.988895796,16524599.01525367,15038278.549464382,16694017.605672726
4,10000,14798528.746325329,16727150.930330768,14833218.925424583,16499994.249446588
5,10000,15052717.083220951,16526885.42490842,15001401.651903257,16719049.395975674
6,10000,14886337.551103398,16309024.673378568,14931020.235053755,16711309.60352469
7,10000,14506906.272294208,16060387.33236608,14774017.19074925,16531049.919242054
8,10000,14911520.303556636,16363257.261606308,14867921.800311029,16552780.467807582
9,10000,14523681.620029435,16126888.520608176,14910081.655337423,16601564.690146556
10,10000,14742421.683071889,16654835.926884722,14651779.190626673,16445536.433082588
11,10000,14982229.728178367,16624426.444979025,14954272.916721903,16436277.549119098
12,10000,14904158.7505996,16550616.831936259,14739058.325230017,16523795.327896936
13,10000,14568675.275692083,16370088.862591181,14940656.653282814,16748868.352877012
14,10000,14934269.971353166,16433554.890250588,14847006.982801288,16560004.93489383
15,10000,14818347.799916014,16543766.362520475,14647209.493798442,16260723.169045655
16,10000,14931972.754446678,16548526.619600993,14783598.645149298,16474071.869347388
17,10000,14606168.73339717,16190041.737481285,14818883.972771093,16725987.18607573
18,10000,14756607.778091386,16296291.778748935,14997398.317583665,16692362.659641113
19,10000,14807868.442730762,16433065.092726046,14800482.60982161,16607251.53661409
20,10000,14741184.56242606,16478368.445698926,14696434.578255206,16387264.91161797
21,10000,15004695.459923878,16914170.32069913,14791360.707674451,16476835.42253369
22,10000,15126271.582151197,16979076.978648026,14799072.093372494,16551876.9686741
23,10000,14561696.284096465,16323858.612602467,14704070.271068498,16421230.238376148
24,10000,14797958.585876599,16449501.974889357,14758202.61056345,16600563.356456209
25,10000,14987445.961575463,16858861.70449303,14916147.718595311,16631795.797233604
26,10000,14663115.972753294,16335003.734517701,14785006.964245573,16582004.388927028
27,10000,14897728.91182027,16792782.956801947,14789252.940227687,16584572.152731754
28,10000,14975989.660472468,16472709.253664115,14763876.871918954,16447920.150548043
29,10000,14943854.01274328,17000652.977109984,14672587.8808105,16598662.435406864
