N,cvar_mc_mean,cvar_mc_std,cvar_is_mean,cvar_is_std,cvar_vrr
10000,16502174.634567905,246450.76783830675,16565280.225975458,113823.30396937266,4.688111967925601
30000,16611628.162340598,133361.7829084445,16555718.005251493,62207.314569315924,4.595998502539948
100000,16556408.160672514,53763.02916679513,16578388.015200526,39377.46175481926,1.8641120918622023
