rep,N,var_mc,cvar_mc,var_is,cvar_is
0,5000,14879344.767626517,16752814.83637828,14722913.025383987,16396777.529425548
1,5000,14929514.878521994,16686977.700653162,15038342.350368299,16690944.68101029
2,5000,14679114.467755564,16463901.646383187,14730948.408437647,16608076.94486783
3,5000,14591638.699398465,16222397.12088346,14582972.301630296,16549866.121367557
4,5000,14845478.516409598,16132350.639532104,15016379.931142785,16730217.042423962
5,5000,14572097.776669718,16266693.308330074,14987483.043125115,16914101.446616452
6,5000,14690321.061360404,15963950.544431034,14777611.296209276,16637814.871894464
7,5000,15089826.061117977,16848194.967260476,15151316.517097667,16739099.348290114
8,5000,14139633.210472986,15563573.298706973,15044568.382329687,16674986.2899516
9,5000,14641039.475029886,16256413.388063211,14804530.813695602,16569756.979786271
10,5000,14625013.406332158,15977479.25691165,14984026.97955785,16846976.95010357
11,5000,14530731.520694166,16206468.891509395,14910950.46742399,16619807.45600195
12,5000,14714104.215042152,16150428.099493181,14754442.222106889,16368584.157690652
13,5000,14675640.307252713,16487173.912043802,14981526.05503203,16660007.9922736
14,5000,14742421.683071889,16800262.319048993,14831946.748606823,16529818.720057424
