N,cvar_mc_mean,cvar_mc_std,cvar_is_mean,cvar_is_std,cvar_vrr
5000,16318605.32864193,357552.11346369394,16635789.10211742,146223.41992069353,5.97922401370831
10000,16529528.85145106,334665.8503071676,16595155.696151149,128283.26082939378,6.805856940662101
